pat_id,title,total_sentences,key_verbs,key_nouns,technical_terms,causal_words_and_terms,failure_terms,variable_terms,primary_failure_pathways,verb_action_pathways
KR-100731773-B1,THE WATER-STORAGE TANK WORTHY AN UNDERCURRENT A BLOCK OF LOSS IN WEIGHT STRUCTURE,27,"mix, open, make, include, support, bury, place, compose, transport, require, facilitate, form, close, seal, exceed, use, correspond, solve, have, settle, show, discharge, move, accord, pour, consist, lay, apply, describe, cause, mount, relate, characterize, arrange, compare, protrude, increase, prevent, introduce, fix, neighbor, reduce, couple, lead, allow, shape, flow, instal, release, store, devise, configure, step","hand, wall, space, process, volume, manufacture, coupling, opening, production, body, problem, portion, rainwater, addition, road, transportation, size, locking, flow, correspondence, surface, flooding, season, chain, base, vehicle, rain, cost, rear, plane, block, reduction, time, sewer, plurality, weight, area, work, house, state, part, foundation, rate, box, tank, material, pavement, column, embodiment, projection, case, reservoir, unit, side, building, construction, pillar, plate, protrusion, trench, square, increase, protrude, site, groove, inflow, claim, shape, installation, invention, land, line, structure, water, front, end, registration, leakage, concrete, nut, inlet, panel, edge, patent, purpose, bottom, figure, connection, storage, mounting, fig, interval, storm, river, effect, step, pouring","inlet, reservoir, tank, coupling","corresponding to, thus, exceeding, while, leading to, shape, increases, requires, configured to, increase, may, due to, causes, to prevent, thereby",leakage,"rainwater, hand, storm, storm water, flooding, rivers, storm drain, heavy rains, rain",tank ➔ [to prevent] ➔ leakage (x1),"[CLOSE] ➔ tank ➔ leakage (x1), [FLOW] ➔ tank ➔ leakage (x1), [FORM] ➔ tank ➔ leakage (x1)"
KR-100731957-B1,A CASE FOR PREVENTION DAMAGE OF A DRAIN PIPE,9,"make, emit, replace, surround, bury, seat, remove, form, close, use, correspond, show, receive, attach, build, apply, characterize, provide, prevent, couple, protect, allow, insert, deform, flow, instal, generate, cover, mean, serve","surface, hand, wall, protection, water, receiving, means, expansion, support, medium, half, case, side, coupling, cracking, opening, aging, reason, bolt, paint, sewer, length, pressure, soil, purpose, area, figure, method, cable, storage, replacement, work, sewage, ground, seating, groove, component, material, shielding, claim, wave, course, clamp, shape, combination, invention, pipe, cover, member","pipe support, coupling","corresponding to, shape, may, due to, via, remove, to prevent","shielding, cracking",hand,No sentence-level triplet found,No verb-component-failure triplet found
KR-100732475-B1,PIPELINE DIRECTION CHANGEABLE COMBINE STRUCTURE FOR MANHOLE WITH PIPE,45,"implement, open, lower, contact, use, correspond, separate, incline, fill, adhere, rotate, result, depend, expand, lay, describe, relate, embed, pass, adopt, condense, contract, flow, tighten, interpose, instal, configure, add, disclose, make, corrugate, secure, limit, form, bind, present, block, characterize, provide, compare, abut, fix, comprise, occur, fit, cure, thread, fail, improve, have, compress, show, leak, accord, connect, increase, withstand, consolidate, belong, accommodate, obtain, change, include, select, place, drive, draw, avoid, solve, communicate, detach, become, ensure, repeat, prevent, fasten, penetrate, couple, lead, insert, widen","process, contact, anchor, coupling, screw, attachment, body, problem, order, bolt, portion, concentrating, pouring, addition, phenomenon, position, outside, plastic, flow, content, surface, fastener, backing, shrinkage, burden, cost, extension, displacement, consolidation, hole, plane, packing, situ, time, conduit, consideration, band, work, watertightness, rubber, state, applicant, direction, durability, course, bolting, pipe, object, cover, wrinkle, material, thread, expansion, support, tube, case, side, detail, pipeline, top, stress, user, leak, principle, length, tension, method, fastening, sewage, bar, claim, abutting, prosthetic, configuration, shape, invention, flange, gap, line, structure, water, level, casting, contraction, end, contrary, manhole, leakage, deformation, concrete, workability, art, port, nut, communication, reason, force, sediment, drawing, slope, selection, bottom, connection, bone, person, example, tightness, ring, difference, connector, rotation, effect, mean, field, member","conduit, pipeline, joint, corrugated pipe, flange, manhole, coupling","corresponding to, leads to, thus, consequently, while, therefore, becomes, because, shape, prevented from, may, increase, configured to, important, due to, because of, to prevent, thereby","leaks, blocked, leakage, leak, add, deformation",,"coupling ➔ [while] ➔ add (x2), manhole ➔ [to prevent] ➔ leakage (x2), coupling ➔ [to prevent] ➔ leakage (x2)","[PREVENT] ➔ manhole ➔ leakage (x4), [CHANGE] ➔ manhole ➔ leakage (x3), [CHANGE] ➔ coupling ➔ leakage (x3)"
KR-100732805-B1,A DAM FOR MAKING FISHWAY AND IMPROVING QUALITY OF WATER,20,"modernize, mix, open, make, lower, secure, space, bury, require, form, close, intend, use, improve, cause, solve, damage, have, harmonize, rotate, show, discharge, move, clean, dissolve, block, refer, accord, build, depend, describe, breed, help, raise, characterize, grow, provide, increase, prevent, pass, blow, lift, withstand, fix, lose, penetrate, reduce, couple, contract, allow, face, enlarge, insert, flow, occur, instal, store, generate, configure, look, drop, vegetate","hand, wall, process, volume, drain, sedimentation, finish, cement, order, problem, char, portion, channel, life, addition, soil, frame, amount, plant, blow, supply, habitat, torrent, advantage, pollution, surface, center, height, lifting, oxygen, rear, environment, composition, generating, emission, intake, purification, esophagus, reduction, block, formation, plurality, pressure, weight, movement, objection, vegetation, flood, state, appearance, part, quantity, waterway, object, quality, blowing, material, hydrology, support, security, reservoir, slag, side, beam, anion, construction, plate, feldspar, drought, method, stream, claim, improvement, shape, invention, drop, abundance, structure, water, level, front, stone, end, back, action, concrete, elvan, aeration, port, contamination, door, inlet, depth, sediment, sidewalk, year, bottom, ray, figure, gate, ecosystem, earth, interval, pair, log, operation, river, fish, effect, generation, member","canal, water intake, inlet, drain, water channel","caused by, effect of, while, therefore, discharged to, common, increases, shape, generated by, increase, due to, to prevent","lifting, contamination","floods, hand, drought, rivers, vegetation, water level, flood","water intake ➔ [shape] ➔ lifting (x2), drain ➔ [while] ➔ lifting (x1), canal ➔ [while] ➔ lifting (x1)","[COUPLE] ➔ water intake ➔ lifting (x3), [INSTAL] ➔ water intake ➔ lifting (x3), [PENETRATE] ➔ water intake ➔ lifting (x3)"
KR-100732984-B1,A SCREW PRESS TYPE FILTER FOR WASTEWATER TREATMENT,14,"induce, transfer, perforate, dewatere, pressurize, concentrate, accumulate, remove, catch, require, dehydrate, use, improve, separate, adhere, exert, rotate, discharge, force, treat, accord, apply, scrape, characterize, pass, scrap, increase, introduce, fasten, fix, couple, allow, face, filter, insert, wash, flow, instal, equip, generate, configure, develop","food, cylinder, industry, surface, water, waste, process, net, effect, place, manhole, form, deformation, sea, joint, screw, network, port, backwashing, ability, nut, inlet, hole, device, discharge, packing, prevention, bolt, portion, purification, metal, type, force, liquid, time, cake, adhesion, dehydration, addition, pressure, contaminant, scraper, method, treatment, chamber, filtration, tightening, direction, advantage, substance, outside, shape, filter, flow, pollution, invention, river, wastewater, flange, livestock, tank, pressurization, outlet, material","joint, inlet, tank, flange, manhole, chamber, coupling","effect of, while, discharged to, common, shape, remove, requires, introduced into, configured to, due to, because of, induces","contaminants, deformation",rivers,No sentence-level triplet found,No verb-component-failure triplet found
KR-100733281-B1,OVERFLOW STRUCTURE FOR PRO-ENVIRONMENT OF ROAD,7,"make, concentrate, seat, form, solve, have, expect, walk, cause, connect, increase, provide, prevent, sink, protrude, purify, fasten, flood, fix, reduce, flow, instal, extend","surface, structure, level, water, velocity, season, recess, end, middle, net, settlement, effect, case, drain, people, rain, side, environment, joint, roadway, matter, body, hole, problem, purification, portion, plate, rainwater, life, plurality, addition, lid, protrusion, purpose, weight, road, area, increase, odor, fastening, splicing, sewage, ground, planting, direction, inflow, sinking, drainage, rate, shape, flow, blade, invention, pipe, plant, path","joint, drainage pipe, drain, drainage channel","thus, effect of, increases, shape, increase, due to, to prevent",external impact,"rainwater, urban areas, lid, water level, heavy rains","drainage pipe ➔ [to prevent] ➔ external impact (x1), drainage pipe ➔ [increase] ➔ external impact (x1), drainage pipe ➔ [due to] ➔ external impact (x1)","[FLOW] ➔ drainage pipe ➔ external impact (x1), [FLOW] ➔ drain ➔ external impact (x1), [PREVENT] ➔ drainage pipe ➔ external impact (x1)"
KR-100733293-B1,A DREDGERS FOR SEWER CONDUIT,27,"collect, induce, make, mix, operate, open, convey, include, pump, base, guide, stretch, set, scatter, remove, compose, transport, drive, spray, facilitate, form, overcome, stick, accumulate, use, correspond, settle, discharge, move, eliminate, block, reciprocate, accord, crush, dredge, mount, repeat, characterize, connect, provide, pass, prevent, achieve, lift, introduce, fix, comprise, decrease, rise, perform, float, flow, constitute, accommodate, predetermine, instal, store, equip, configure, mean","transfer, wing, pump, process, volume, dredging, opening, slot, problem, discharge, towing, portion, collection, progression, addition, bogie, amount, efficiency, advantage, substance, outside, flow, motor, region, lighting, deposit, solid, shaft, obstacle, form, grill, rear, housing, monitoring, piston, sewer, plurality, pressure, movement, work, corner, direction, part, rate, pipe, tank, camera, object, material, jet, suction, basin, unit, side, top, cloth, settling, matter, nozzle, device, caterpillar, vinyl, arm, funnel, method, sludge, sewage, inflow, claim, emergency, shape, rope, accumulation, blade, congestion, invention, brush, mjp, introduction, line, structure, water, front, driving, means, injection, settlement, manhole, sub, communication, inlet, inclination, sediment, bottom, removal, dredge, trolley, storage, fig, blockage, lift, interval, gas, chamber, cutter, impeller, duct, rotation, mean","discharge pipe, piston pump, pump, inlet, nozzle, tank, basin, manhole, chamber, impeller","corresponding to, while, discharged to, shape, based on, introduced into, may, induced by, configured to, used to, monitoring, remove, to prevent, due to","lifting, deposits, did, crushing, obstacles, blocked, blockage",hydraulic pressure,"chamber ➔ [based on] ➔ deposits (x1), chamber ➔ [based on] ➔ blockage (x1), chamber ➔ [shape] ➔ deposits (x1)","[COMPRISE] ➔ chamber ➔ crushing (x2), [COMPRISE] ➔ pump ➔ crushing (x2), [COMPRISE] ➔ impeller ➔ crushing (x2)"
KR-100733588-B1,A DRAINAGE LINE,20,"collect, open, operate, include, drain, distinguish, drive, rain, facilitate, form, close, use, have, fill, compress, rotate, show, discharge, roll, force, accord, build, consist, crush, describe, mount, expose, embed, connect, characterize, pass, provide, repeat, prevent, introduce, supply, dispose, enable, partition, couple, allow, promote, instal, store, generate, configure, extend, indicate, step, serve","line, surface, wall, inside, lane, structure, water, mechanism, driving, vicinity, end, pump, space, valve, drain, well, vehicle, shaft, interior, drive, transport, rain, side, unit, port, roadway, housing, hole, inlet, discharge, turbine, tire, order, portion, time, speed, rainwater, addition, pressure, load, road, air, figure, driver, fig, lot, safety, exhaust, chamber, impeller, supply, sewage, part, partition, operation, advantage, leaf, manifold, airbag, drainage, shape, invention, pipe, rotation, step, outlet, sump, material","drainage pump, discharge pipe, manifold, drainage pipe, pump, inlet, valve, drain, impeller, chamber, sump","thus, generated by, while, discharged to, shape, introduced into, configured to, may, thereby",,"rainwater, rain, storm drain",No sentence-level triplet found,No verb-component-failure triplet found
KR-100733608-B1,PIPE ASSEMBLY OF CULVERT FOR SEPERATING RAINDROPS AND SEWAGE,18,"collect, mix, make, open, foul, include, secure, base, surround, form, seal, close, use, improve, correspond, separate, have, pollute, spread, discharge, attach, accord, minimize, bend, consist, cause, characterize, connect, superimpose, provide, prevent, achieve, fasten, fix, comprise, couple, lead, meet, assemble, plan, insert, flow, instal, configure, extend, overflow","wall, space, contact, separation, anchor, coupling, attachment, separator, bolt, portion, rainwater, soil, amount, plant, culvert, advantage, outside, induction, flow, pollution, mixing, response, surface, apparatus, rain, piece, environment, hole, plane, time, conduit, plurality, degree, inorganic, area, consideration, band, treatment, watertightness, weather, direction, part, organic, rate, pipe, object, wastewater, quality, decay, material, sand, side, pipeline, matter, cheongcheon, device, type, strip, government, odor, sewage, stream, claim, haunch, shape, si, invention, water, means, end, rainfall, joint, deposition, contamination, communication, sediment, edge, bottom, angle, earth, insert, river, fish, effect, mean, death","culvert, conduit, pipeline, joint, coupling","corresponding to, thus, effect of, while, discharged to, leading to, shape, based on, configured to, may, due to, causes, thereby","fouling, decay, contamination","rainwater, rainfall, rain, heavy rain",No sentence-level triplet found,No verb-component-failure triplet found
KR-100733687-B1,MANUFACTURING SYSTEM AND METHOD FOR ANTIOXIDATION BIO MINERAL WATER,25,"mix, make, enhance, produce, include, convey, concentrate, decompose, detect, select, base, accumulate, compose, form, overcome, aim, propose, use, improve, solve, separate, drink, have, circulate, become, discharge, receive, find, refer, clean, accord, depend, contribute, apply, irradiate, consist, crush, describe, contain, relate, expose, characterize, return, provide, increase, prevent, ripen, classify, inject, introduce, divide, clog, maintain, comprise, play, promote, decrease, filter, perform, age, electrolyze, exist, occur, store, equip, generate, instal, activate, mean","hand, transfer, molecule, process, separation, function, property, production, metabolism, element, body, problem, diaphragm, order, human, product, groundwater, chloride, addition, soil, nitrate, provision, amount, resistance, diffuser, filtration, magnetization, circulation, role, mesh, instability, substance, flow, content, condition, fluid, past, starch, activation, ripening, mixing, syrup, metering, precision, nutrient, hydrolysis, acid, tap, cell, parasitic, growth, chemical, diameter, environment, energy, manufacturing, sterilization, intake, gram, time, degree, pressure, membrane, clogging, polysaccharide, bran, weight, air, neutrophil, vegetation, treatment, format, state, rate, power, secretion, pollutant, object, sugar, material, food, weighing, wt, group, culture, million, compound, concentration, pore, alcohol, vitality, aging, matter, device, nature, agent, μm, microfiltration, bio, voltage, method, disinfectant, odor, ionizer, cleaner, ground, claim, phenol, decrease, filter, combination, invention, particle, nitrite, crab, influence, vitalization, water, electrolysis, level, attraction, hydrogen, characteristic, facility, cathode, degradation, closing, activity, limitation, contamination, washing, ph, inlet, temperature, metabolite, microorganism, metal, force, silver, stability, impurity, purpose, removal, drinking, source, byproduct, storage, carbohydrate, blockage, microfilter, equipment, chamber, rice, decomposition, component, mineral, productivity, actinomycete, term, closure, cation, shell, amino, control, effect, technology, step, field","inlet, chamber, diffuser","becomes, used to, due to, contributing to, increases, may, activation of, receive, to prevent, thus, common, based on, introduced into, increase, because of, comprise, generated by, because, influence, important","degradation, ineffective, electrolysis, contamination, blockage, hydrolysis","hand, temperature, nature, vegetation","chamber ➔ [introduced into] ➔ electrolysis (x1), chamber ➔ [due to] ➔ electrolysis (x1), diffuser ➔ [may] ➔ blockage (x1)","[APPLY] ➔ chamber ➔ electrolysis (x1), [DIVIDE] ➔ chamber ➔ electrolysis (x1), [INTRODUCE] ➔ chamber ➔ electrolysis (x1)"
KR-100733944-B1,VAPOR PRODUCING DEVICE AND COOKER WITH THE SAME,16,"open, stimulate, deposit, detect, drain, remove, reach, weaken, crystallize, exceed, use, fill, adhere, become, attach, dry, accelerate, cool, layer, accord, connect, shorten, remain, clog, suppress, comprise, perform, predetermine, peel, add","surface, wall, water, level, expansion, end, vessel, valve, drain, completion, apparatus, way, document, growth, heating, crystallization, composition, temperature, countermeasure, time, adhesion, degree, patent, room, generator, addition, bottom, capacity, amount, sensor, size, steam, container, supply, detection, state, evaporation, operation, decrease, scale, configuration, drainage, difference, invention, control, pipe, effect, degreec, generation, fan","drainage pipe, pump, vessel, sensor, valve, tank, drain","thus, effect of, becomes, therefore, may, due to, via, remove",,"water level, temperature, thermal expansion",No sentence-level triplet found,No verb-component-failure triplet found
KR-100734137-B1,Freeze protection device for water meter,9,"keep, start, omit, form, close, use, correspond, solve, damage, press, freeze, leak, expand, lock, simplify, describe, mount, prevent, achieve, inject, remain, maintain, assemble, contract, allow, absorb, flow, exist, equip, configure","primary, water, embodiment, expansion, manner, space, volume, place, tap, unit, measurement, side, cost, absorption, fixing, lifting, leakage, assembly, sight, damage, jaw, manufacturing, order, problem, portion, counter, view, meter, plate, time, edge, addition, performance, periphery, keypad, figure, cap, coefficient, number, steel, fig, glycerin, freezing, state, gear, impeller, glass, part, operation, ring, operating, outside, dolbute, counting, flow, invention, shell, object, quality, path","water meter, impeller","corresponding to, thus, thereby, while, prevented from, configured to, to prevent, important","lifting, leak, freezing, leaks, leakage",,"water meter ➔ [corresponding to] ➔ freezing (x1), water meter ➔ [prevented from] ➔ leak (x1), water meter ➔ [prevented from] ➔ freezing (x1)","[ABSORB] ➔ water meter ➔ freezing (x2), [LEAK] ➔ water meter ➔ leak (x2), [LEAK] ➔ water meter ➔ lifting (x2)"
KR-100734227-B1,Resin reinforcement method for joint of menhole and the joint structure using the same,8,"make, cure, space, live, remove, elapse, form, use, correspond, have, harden, show, bond, ensure, leak, eliminate, reinforce, cause, describe, connect, provide, prevent, inject, complete, fix, mention, allow, perform, insert, flow, occur, predetermine, join","reinforcement, inside, structure, curing, polyester, injection, process, space, tube, case, contact, manhole, shrinkage, coupling, resin, joint, bonding, property, matter, hole, problem, factory, bolt, mortar, plate, time, leak, rainwater, sewer, plurality, layer, soil, figure, method, reinforcing, watertightness, state, sewage, joining, exhaust, inflow, material, outside, crack, pollution, invention, pipe, gap, object, junction, cracking","manhole, joint, coupling","corresponding to, while, therefore, may, due to, causes, to prevent","leak, cracking",rainwater,"manhole ➔ [to prevent] ➔ leak (x1), joint ➔ [to prevent] ➔ leak (x1)","[ALLOW] ➔ manhole ➔ leak (x1), [ALLOW] ➔ joint ➔ leak (x1), [COMPLETE] ➔ manhole ➔ leak (x1)"
KR-100734578-B1,APPARATUS FOR PURIFICATION OF RAINFALL ON BRIDGE,25,"collect, implement, make, include, replace, concentrate, deposit, base, say, limit, remove, accumulate, facilitate, form, prefer, take, smooth, solve, damage, have, assume, manage, show, discharge, clean, dissolve, block, construe, accord, know, cause, contain, relate, mount, describe, connect, provide, pass, prevent, purify, remain, mean, introduce, point, mention, dispose, clog, perform, filter, flow, wash, occur, design, configure, extend, indicate","wall, volume, idea, respect, sedimentation, account, coupling, opening, function, scope, body, order, discharge, problem, collection, rainwater, addition, road, purifier, replacement, amount, whole, size, outside, substance, system, flow, section, overload, path, surface, oil, dust, base, vehicle, apparatus, cartridge, rain, diameter, hole, purification, formation, module, situation, weight, area, number, arrow, direction, strainer, wind, pollutant, box, pipe, object, cover, zinc, embodiment, case, sand, side, standard, construction, cross, device, plate, bridge, sewage, inflow, configuration, filter, drainage, invention, outlet, line, structure, water, rainfall, characteristic, cleaning, limitation, port, washing, collecting, inlet, force, metal, stability, contaminant, load, bottom, analysis, fig, example, component, operation, lead, core","inlet, strainer, coupling","thus, caused by, while, therefore, discharged to, disposed between, based on, introduced into, may, configured to, due to, to prevent, thereby","contaminants, blocked","rainwater, heavy rain, wind, rainfall, rain","inlet ➔ [may] ➔ contaminants (x1), inlet ➔ [may] ➔ blocked (x1)","[BLOCK] ➔ inlet ➔ contaminants (x1), [BLOCK] ➔ inlet ➔ blocked (x1), [FORM] ➔ inlet ➔ contaminants (x1)"
KR-100734610-B1,APPARATUS TO BAD SMELL AND FLOWING BACKWARD FROM THE MANHOLE OF SEWER SYSTEM,15,"make, open, keep, include, enter, accumulate, form, close, malfunction, pollute, have, show, rotate, discharge, disappear, move, block, accord, contain, connect, provide, act, prevent, increase, discard, introduce, flood, fix, twist, escape, flow, exist, instal, generate, decay, extract","inside, distance, structure, water, household, embodiment, waste, means, support, space, torsion, tube, case, apparatus, manhole, height, rain, side, coupling, seal, action, unit, opening, grille, organ, matter, body, door, inlet, prevention, problem, device, discharge, portion, plate, drawing, rainwater, sewer, addition, factor, frame, weight, amount, odor, example, blockage, spring, sewage, part, inflow, backflow, substance, outside, passage, shape, configuration, flow, invention, pipe, object, flange","inlet, manhole, flange, coupling","thus, generated by, discharged to, because, shape, increases, introduced into, may, prevented from, due to","decay, blocked, blockage","rainwater, temperature, rain, heavy rain","inlet ➔ [because] ➔ blocked (x1), inlet ➔ [discharged to] ➔ blocked (x1), inlet ➔ [may] ➔ blocked (x1)","[ACCORD] ➔ inlet ➔ blocked (x1), [BLOCK] ➔ inlet ➔ blocked (x1), [DISCHARGE] ➔ inlet ➔ blocked (x1)"
KR-100734924-B1,The manufacturing method for porous polyurethane foam media containing carbonaceous materials obtained from carbonization of sludges and the foam media thereof,4,"recycle, produce, use, measure, relate, support, carbonize, carry, generate, determine, remove, treat","process, carrier, fid, hp, compound, concentration, carbide, inlet, temperature, polyurethane, product, ammonia, benzene, method, sludge, treatment, odor, efficiency, series, carbonization, invention, wastewater, gc, outlet, foam, material",inlet,"remove, determine, thereby",,"bed, temperature",No sentence-level triplet found,No verb-component-failure triplet found
KR-100735056-B1,SEWAGE DISPOSAL TANK,20,"make, open, include, support, vibrate, reach, limit, accumulate, require, form, close, use, correspond, separate, have, press, measure, adhere, show, discharge, affect, treat, accord, describe, contain, mount, characterize, connect, provide, prevent, purify, fasten, fix, supply, suspend, dispose, transmit, comprise, filter, insert, float, constitute, instal, equip","electromagnet, filtrate, weft, drain, sedimentation, opening, sensing, discharge, result, addition, vibration, filtration, position, floor, condition, section, compression, motor, leg, surface, upflow, pedestal, septic, deposit, height, backwashing, precipitate, housing, hole, layer, plurality, pressure, lid, band, screen, holder, part, fiber, pipe, tank, object, quality, embodiment, supernatant, valve, unit, side, top, settling, filtering, matter, device, gauge, periphery, funnel, method, sludge, sewage, ground, bar, shape, filter, float, invention, precipitation, structure, water, means, end, yarn, magnet, inlet, force, sediment, slope, bottom, connection, storage, fig, cone","gauge, discharge pipe, inlet, valve, drain, tank","corresponding to, therefore, discharged to, as a result, shape, may, used to, due to, accumulate, to prevent, affected, thereby",deposits,"precipitation, lid","valve ➔ [may] ➔ deposits (x2), valve ➔ [accumulate] ➔ deposits (x2), discharge pipe ➔ [may] ➔ deposits (x2)","[ACCUMULATE] ➔ valve ➔ deposits (x2), [ACCUMULATE] ➔ discharge pipe ➔ deposits (x2), [CLOSE] ➔ valve ➔ deposits (x2)"
KR-100735064-B1,WATER STANDING APPARATUS FOR WATER DIVERTING,14,"obtain, open, water, include, support, pump, encapsulate, base, shrink, remove, push, form, seal, close, use, press, discharge, block, accord, expand, connect, provide, prevent, inject, achieve, spin, turn, comprise, couple, flow, adjust, fit, instal, carry, configure, extend, repair","line, surface, consumption, water, support, injection, pump, tube, end, stopper, lake, interior, supporter, apparatus, limit, manhole, leakage, beam, pipeline, spinning, body, inlet, device, problem, result, portion, channel, conduit, addition, hose, pressure, length, movement, year, air, method, connection, amount, hollow, packer, equipment, sewage, state, direction, distribution, part, jetting, flow, power, invention, pipe, object, effect, turning, outlet","conduit, pipeline, pump, inlet, manhole, coupling","while, as a result, because, based on, configured to, carry, remove, to prevent","leak, blocked, leakage",hydraulic pressure,"pipeline ➔ [based on] ➔ blocked (x1), manhole ➔ [based on] ➔ blocked (x1), pipeline ➔ [to prevent] ➔ leakage (x1)","[BASE] ➔ pipeline ➔ blocked (x1), [BASE] ➔ manhole ➔ blocked (x1), [BLOCK] ➔ pipeline ➔ blocked (x1)"
KR-100735149-B1,BACKWASH WATER UNIFORM SUPPLYING APPARATUS,5,"collect, make, use, pip, describe, provide, increase, prevent, see, show, stop, occur, distribute, circulate, equalize, supply, block, form","wall, water, velocity, back, side, rear, row, backwashing, washing, hole, device, order, block, channel, time, pressure, air, equalization, through, supply, circulation, passage, shape, backwash, filter, flow, invention, paper, waterway, pipe",water channel,"thus, while, increases, shape, due to, to prevent, thereby",blocked,,"water channel ➔ [while] ➔ blocked (x1), water channel ➔ [shape] ➔ blocked (x1), water channel ➔ [increases] ➔ blocked (x1)","[BLOCK] ➔ water channel ➔ blocked (x1), [INCREASE] ➔ water channel ➔ blocked (x1), [SEE] ➔ water channel ➔ blocked (x1)"
KR-100735544-B1,APPARATUS FOR ORGANIC WASTEWATER TREATMENTS,52,"mix, transfer, produce, lower, process, remove, seal, use, measure, incline, circulate, discharge, determine, complicate, consist, describe, relate, blow, remain, adopt, supply, maintain, condense, warm, meet, flow, instal, configure, kill, serve, optimize, deviate, induce, make, corrugate, decompose, deposit, detect, guide, require, facilitate, form, minimize, apply, contain, characterize, return, inject, introduce, fix, reduce, comprise, protect, absorb, operate, convey, support, suction, distribute, compose, suck, agitate, fly, have, inhale, sense, show, leak, eliminate, treat, send, accord, branch, connect, increase, stop, stabilize, clog, diffuse, decrease, install, float, reuse, predetermine, collect, include, cut, surround, descend, solve, elevate, spread, become, affect, refer, raise, act, prevent, promote, control, generate, activate, mean","hand, transfer, filtrate, molecule, oxidization, pump, process, contact, bacteria, mixture, production, influent, body, pick, problem, discharge, order, portion, reaction, product, collection, maintenance, addition, bubble, diffusion, phenomenon, amount, safety, supply, coli, circulation, efficiency, operating, advantage, outside, substance, system, pollution, condition, section, activation, removing, mixing, surface, constitution, waste, solid, center, fertilizer, reactor, guide, apparatus, vehicle, acid, blower, measurement, cost, chemical, radar, environment, redox, energy, lack, hole, heat, liquid, sudan, time, layer, plurality, degree, disease, factor, pressure, clogging, weight, air, return, coefficient, treatment, number, solution, health, state, point, potential, direction, lowering, part, wave, acidity, rise, quantity, rate, datum, power, pipe, tank, wastewater, korea, foam, food, silicone, support, demand, tube, suction, vacuum, side, unit, concentration, workers, loss, exposure, matter, nozzle, device, view, agent, value, reference, batch, self, venturi, escherichia, method, increase, branch, sensor, lactobacillus, resource, groove, inflow, claim, configuration, shape, invention, strand, controller, introduction, viscosity, inside, water, level, means, end, cut, signal, disadvantage, characteristic, extinguishing, oxidation, ph, buoyancy, inlet, atmosphere, temperature, microorganism, panel, speed, dehydration, holding, purpose, bottom, cause, removal, figure, source, gas, desorption, decomposition, occurrence, operation, biomass, law, river, control, mode, digestion, oxygen, mean, member","suction pipe, corrugated pipe, discharge pipe, pump, venturi tube, inlet, nozzle, sensor, tank","becomes, determines, configured to, due to, remove, thereby, while, increases, may, activation of, determine, to prevent, affect, discharged to, introduced into, increase, act, can produce, induces, occurrence, generated by, therefore, because, shape, important","oxidation, corrosion, leaks","rivers, hand, water level, temperature","tank ➔ [due to] ➔ leaks (x1), venturi tube ➔ [due to] ➔ leaks (x1), tank ➔ [discharged to] ➔ corrosion (x1)","[ACTIVATE] ➔ tank ➔ oxidation (x2), [GENERATE] ➔ tank ➔ oxidation (x2), [AGITATE] ➔ tank ➔ leaks (x1)"
KR-100735579-B1,WATER-WORKS OF MANY FUNCTION WITH AIR-BENT,13,"open, operate, lower, include, replace, support, space, project, form, close, seal, take, use, smooth, communicate, have, press, regulate, rotate, discharge, move, reciprocate, apply, describe, characterize, connect, act, protrude, prevent, provide, introduce, fix, transmit, supply, divide, identify, penetrate, comprise, couple, rise, predetermine, instal, control, generate, configure","space, contact, caba, function, body, order, discharge, bolt, portion, shaking, addition, arc, supply, distribution, bleed, outside, shooter, adjustment, kava, flow, section, impact, surface, guide, seat, cushion, fixing, damage, hole, intake, purification, plurality, pressure, movement, air, wrench, absence, part, pipe, cover, valve, unit, side, top, cross, cap, method, sludge, capacity, spin, spindle, claim, ball, shape, float, invention, flange, gap, presence, outlet, inside, structure, water, level, end, interior, breakage, buoyancy, sub, communication, reason, constant, force, purpose, interval, mouth, exhaust, chamber, hinge, rod, control, sheet, member","float valve, chamber, valve, flange","while, therefore, discharged to, because, shape, introduced into, configured to, due to, to prevent, identify","breakage, leaks","hydraulic pressure, water level","valve ➔ [to prevent] ➔ breakage (x1), float valve ➔ [to prevent] ➔ breakage (x1), valve ➔ [identify] ➔ breakage (x1)","[FORM] ➔ valve ➔ breakage (x2), [INSTAL] ➔ valve ➔ breakage (x2), [FORM] ➔ float valve ➔ breakage (x1)"
KR-100736181-B1,The waterworks tube leads and the impurities removal method which flows and the system,7,"open, make, produce, change, sell, replace, detect, select, set, accumulate, remove, catch, push, close, use, solve, assume, settle, show, specify, discharge, move, clean, block, lock, contain, relate, connect, provide, pass, complete, impregnate, install, flow, exist, instal, flange, weld","water, end, tube, center, valve, case, place, fabrication, sedimentation, facility, side, joint, assembly, use, kp, device, discharge, portion, time, impurity, sewer, addition, pressure, removal, figure, connection, amount, solution, sealing, interval, size, checkerboard, detection, state, supply, direction, city, outside, myriad, shape, filter, flow, installation, pipe, flange, material","discharge pipe, valve, joint","discharged to, shape, may, used to, remove",,,No sentence-level triplet found,No verb-component-failure triplet found
